DATE,COUNTY,INDIVIDUALS,CASELOADS,ISSUANCE
2011-04-01,Smith,4083,1832,542884
2011-04-01,Stewart,2346,986,279135
2011-04-01,Sullivan,28032,13382,3554320
2011-04-01,Sumner,22486,10192,3079537
2011-04-01,Tipton,13356,6250,1803562
2011-04-01,Trousdale,1667,776,206860
2011-04-01,Unicoi,4009,1940,489451
2011-04-01,Union,5396,2348,674501
2011-04-01,Van Buren,1315,603,153911
2011-04-01,Warren,9599,4433,1206372
2011-04-01,Washington,18572,9440,2442362
2011-04-01,Wayne,3306,1581,399748
2011-04-01,Weakley,6848,3464,869332
2011-04-01,White,5967,2684,736895
2011-04-01,Williamson,7819,3410,1049950
2011-04-01,Wilson,14134,6689,1931195
2011-05-01,Anderson,15271,7287,1954408
2011-05-01,Bedford,10765,5116,1534952
2011-05-01,Benton,3659,1813,454036
2011-05-01,Bledsoe,3605,1668,472644
2011-05-01,Blount,19556,9416,2609773
2011-05-01,Bradley,19982,9396,2826527
2011-05-01,Campbell,12891,6560,1641571
2011-05-01,Cannon,3327,1607,441923
2011-05-01,Carroll,7113,3346,908997
2011-05-01,Carter,12141,5833,1469061
2011-05-01,Cheatham,6549,2851,877762
2011-05-01,Chester,3600,1687,447071
2011-05-01,Claiborne,8390,4029,1022359
2011-05-01,Clay,2178,1103,265404
2011-05-01,Cocke,11513,5708,1516180
2011-05-01,Coffee,11073,4983,1466266
2011-05-01,Crockett,3364,1638,433412
2011-05-01,Cumberland,11064,5163,1412060
2011-05-01,Davidson,123185,61029,17366007
2011-05-01,Decatur,2756,1367,344766
2011-05-01,Dekalb,4612,2251,619137
2011-05-01,Dickson,9672,4461,1312487
2011-05-01,Dyer,9654,4651,1250651
2011-05-01,Fayette,7138,3688,936581
2011-05-01,Fentress,5960,2919,726700
2011-05-01,Franklin,6571,3002,813649
2011-05-01,Gibson,11287,5511,1445456
2011-05-01,Giles,5890,2845,755750
2011-05-01,Grainger,5173,2305,637527
2011-05-01,Greene,13023,6208,1681999
2011-05-01,Grundy,5146,2422,644918
2011-05-01,Hamblen,12942,6262,1679904
2011-05-01,Hamilton,57963,29599,9287947
2011-05-01,Hancock,2660,1275,314268
2011-05-01,Hardeman,7030,3519,909414
2011-05-01,Hardin,6951,3414,869992
2011-05-01,Hawkins,12305,5696,1536871
2011-05-01,Haywood,5967,3131,757823
2011-05-01,Henderson,6605,3340,831463
2011-05-01,Henry,7530,3542,974090
2011-05-01,Hickman,6292,2840,822391
2011-05-01,Houston,1758,754,212113
2011-05-01,Humphreys,3652,1617,464182
2011-05-01,Jackson,2905,1446,369985
2011-05-01,Jefferson,10853,5053,1386651
2011-05-01,Johnson,4574,2398,577385
2011-05-01,Knox,65429,33320,8864144
2011-05-01,Lake,2290,1215,334826
2011-05-01,Lauderdale,7992,3843,1030969
2011-05-01,Lawrence,8904,4151,1109420
2011-05-01,Lewis,3243,1513,406801
2011-05-01,Lincoln,6898,3204,869234
2011-05-01,Loudon,7143,3271,929817
2011-05-01,Macon,6156,2756,794678
2011-05-01,Madison,20196,9820,2685548
2011-05-01,Marion,7149,3430,930950
2011-05-01,Marshall,6245,2843,803174
2011-05-01,Maury,16552,7822,2210903
2011-05-01,Meigs,3204,1478,419468
2011-05-01,Monroe,10624,4900,1647296
2011-05-01,Montgomery,24336,10877,3282907
2011-05-01,Moore,886,364,102450
2011-05-01,Morgan,5153,2386,656995
2011-05-01,McMinn,11076,5259,1430773
2011-05-01,McNairy,7738,3809,959891
2011-05-01,Obion,6440,3078,786048
2011-05-01,Overton,4869,2330,592914
2011-05-01,Perry,2032,949,256182
2011-05-01,Pickett,1068,555,125627
2011-05-01,Polk,4109,1821,503063
2011-05-01,Putnam,14222,6941,1897079
2011-05-01,Rhea,8241,3849,1076582
2011-05-01,Roane,9901,4806,1258412
2011-05-01,Robertson,11828,5579,1620390
2011-05-01,Rutherford,38322,17258,5271002
2011-05-01,Scott,8151,3940,994380
2011-05-01,Sequatchie,3881,1758,531867
2011-05-01,Sevier,17645,7753,2273950
2011-05-01,Shelby,249360,120854,36239940
2011-05-01,Smith,4055,1832,532822
2011-05-01,Stewart,2342,991,275235
2011-05-01,Sullivan,28090,13412,3542323
2011-05-01,Sumner,22572,10216,3065888
2011-05-01,Tipton,13356,6280,1797176
2011-05-01,Trousdale,1730,809,216585
2011-05-01,Unicoi,3947,1919,481514
2011-05-01,Union,5345,2355,662832
2011-05-01,Van Buren,1290,590,150319
2011-05-01,Warren,9543,4439,1198583
2011-05-01,Washington,18672,9517,2461643
2011-05-01,Wayne,3336,1602,404438
2011-05-01,Weakley,6940,3501,883383
2011-05-01,White,5976,2693,733088
2011-05-01,Williamson,7821,3434,1045283
2011-05-01,Wilson,14294,6732,1962229
2011-06-01,Anderson,15534,7411,2017158
2011-06-01,Bedford,10927,5198,1543724
2011-06-01,Benton,3707,1817,451010
2011-06-01,Bledsoe,3636,1682,464753
2011-06-01,Blount,19788,9491,2627706
2011-06-01,Bradley,20076,9440,2607073
2011-06-01,Campbell,13016,6635,1666281
2011-06-01,Cannon,3397,1632,455524
2011-06-01,Carroll,7123,3348,902349
2011-06-01,Carter,12331,5912,1499587
2011-06-01,Cheatham,6527,2853,887665
